用户名,评分,游戏时长,评论
﻿Ailian,4E+00,3小时3分钟,扣的那一星给回档(而且我还回了两次档，浪费了两个多小时的时间，不过看在可以重抽卡的份上我心态还是挺稳的)……抛掉那略惨加滑稽的开服事件不说，游戏体验总体还行，就是战斗消方块时那把剑……感觉这个ui好像还不如之前测试时候呢。虽然没抽到ur，但是本非洲难民(任何游戏)早已经有了心理准备。
﻿不说不想不挂念,2E+00,,这游戏不知道能不能说是逼氪，反正给我一种很缺钱的感觉，新手任务里有充值1元/6元/30/128元（大概这些，可能还漏了个60元），宝石分付费和免费，各种活动哪怕是氪月卡他返还的也都只是免费宝石（免费宝石用处少），各类氪金礼包种类繁多，温泉泡澡想回个疲劳值，对不起没有浴衣不能入浴，浴衣还挺贵……我目睹了昨天回档维护很多人的怨怼差评，对这游戏印象极差，但又真心热爱抽卡养成乙女游戏，试玩之后觉得……还是不入坑了，坐等若干月后游戏完善好了再“真香”吧。
﻿手机用户21090631,4E+00,4小时34分钟,认真脸我真没碰到什么回档之类的所以游戏体验还行😁只是蓬莱玉分付费和免费，同一角色不同稀有度有点接受不了可能刚开服，福利有点多。我五次十连，出了三个ssr一个太刀现代男，一个激光现代女，一个有点帅的剑客ps:（不记角色什么名字，氪了一块钱😁）游戏要素挺多，玩法也就那些吧，还行有点上瘾，有点伤肝吃完晚饭想上线刷刷等级，结果停服维护了于是就有了这篇评论总的来说，就我而言，我是喜欢这款游戏的，也没遇到什么bug，就是有点卡顿再ps:（可能是我就只上了一次线然后玩了四个小时退了之后就没有再上，再上的时候已经维护了）纯靠肝也可以玩😋
﻿冰冠,3E+00,16小时10分钟,三星给立绘声优补偿，扣的2星，一颗扣在抽卡概率88抽3ssr没有ur，概率是真的低，真的感人，还有一颗星扣在系统上，好友那边永远有小红点，仓库永远有小红点，我真的不想现在开仓库的礼包，我看过了就不能把小红点销了吗，还有体力，回复的真的慢，也没有提示说多久回满，我都不知道多久回复一点，然后升级也不送体力，也没有体力援助，不就是想让我买体力吗
﻿LaLa,5E+00,3分钟,内测参加过，这两天我把手里其他费时间的游戏都删了（心疼没用完的月卡），只剩某一周年换装、某刀客塔这种上线五分钟，下线10小时的佛系手游等执剑上线了！还安利了身边的小伙伴包括自己老公也来玩，希望执剑好好运营啊！另，腾讯发行是不是又要搞这样那样的会员礼包？能不弄这种全员发福利吗？真的烦需要这样那样才能领礼包的操作。
﻿岸祥太,5E+00,2小时49分钟,个人觉得评分过分低了，所以想稍微评价一波，第一次写这么长，有偏颇之处不好意思。游戏时长开放，手Q渠道名古屋服，截止这个评价发出，我22级，3个3花，2个2花，无ur 6不同ssr 6不同sr，已经换到ssr芭蕉，氪了新人1+6。一、回档问题我也被回了两次档，一次是预抽卡时德川没了，一次从10级反5级并失去1ssr，但是昨晚8点维护后已全部反还。大面积低分绝大部分是回档原因，这个问题正逐步修复，相信评分会有修改。二、掉率掉率确实低，但是因人而异【晒卡的大有人在】，而且每个卡组都有各自搭配，不至于因为没有ur就玩不下去，而且游戏有继承功能，可以先养r或者sr。三、福利个人感觉福利不低，有口令码有CDK有预约礼包各种维护全服补偿，一补偿就是免费玉或者体力，我觉得🉑。还看到有人说骗氪的问题，玩了这么多手游其实我也是第一次见到一个游戏有这么多组合包+首充双倍，但是绝对不是不氪就玩不下去的，顶多会让你觉得心痒【比如我】。四、体力体力确实不够【哪个游戏能体力充裕？要么氪要么等】，但是获得体力的方式多样，商店有很多购买途径，友情点也可以，至少热情还在的时候不会让你没体力。五、玩法人物人物立绘精致，语音丰富【立花花樱木慎慎aswl】玩法多样是不可否认的，既满足生活玩家又可以pvp、pve，一本满足【开心脸】说这么多只是因为我现在觉得它是个好游戏，不应该因为回档问题被各种负面评价然后影响新玩家，如果后续有我认为不足或者不合理的，那么我会修改评价。仁者见仁智者见智，不喜勿喷。这一波抢救我觉得🉑，希望游戏组越做越好吧。
﻿，,1E+00,2小时23分钟,闪退不说了，充值不到账，也行，我等，这尼玛我辛辛苦苦打的关卡再次登录记录没了？我倒回去重打？第一章打过了然后再登回去重回1-4呵呵，再说这爆率，我五十发下去一个ssr，通常是1sr9r，老哥，你们游戏上线是ur好吗，ssr只相当于人家的sr，爆率感人，卸了，再见，得亏只充了20还没来得及大氪
﻿Stark工业扛把子Sir√,3E+00,31分钟,三星，跟测试服比起来画面改了挺多的，但是我真的想说.........测试服真的好阿，，，战斗画面，还有整体布局，我个人更喜欢测试服。然后就是这个公测，，，新手教程引导打第一关，一到选武士那儿就卡，点不动，退出登录好几次都不管用，而且最离奇的是，一开始我的武士是默认抽到的那俩，蕉跟周，然后一直试着退出登录，然后武士变成了那个僧跟周？？？？这是什么操作？？？
﻿Ldan,3E+00,1小时23分钟,爆率感人 最让我不能理解的是 付费蓬莱玉和免费蓬莱玉 是以什么样的心态分开用 那你补偿的免费蓬莱玉 我用来摆着看吗？补充吐槽  抽卡真是难受死我了   非得要拉开刀鞘   跳过什么的也很慢   我抽到r卡n卡真的很想跳过看下一发  同一个人物n r sr ssr牌面一模一样  我放首页都不知道我放的是r还是ssr希望多大失望多大  亏我还熬夜抽卡...
﻿在下牛奶咯,5E+00,5小时8分钟,没玩过内测，直接预约等开服，目前16级无氪金玩家一枚，说一下自己的见解。------------------------------------------------------------1◢关于评分暴跌目前来看，服务器出问题导致回档是评分迅速降低的最主要原因，“问题玩家”集体给低分开骂，“正常玩家”继续沉浸游戏很少回来给个客观分，由此评分一路下滑。到现在最新的评论还是约20小时之前的一星或两星，吐槽服务器辣鸡或者逼氪，但值得注意是个别评论的玩家游戏时长只有几十分钟，还没有完全熟悉游戏就开始大喷特喷，丢下一星保护就走人，服务器维护好了，游戏记录归还了，他们可能也不会回来修改评论，这对于一个刚开始发行的新游来说很难受。2◢关于氪金我是觉得有逼氪成分在，但是并不过分，蓬莱玉分免费和付费，但是免费蓬莱玉照样可以抽池子，抽十连，商店里的礼包不去看就来喷逼氪，我觉得很没意义。。另外就领ssr芭蕉的活动来说，小氪一下的设置确实让人有些不自在，但是那些数都没数就开始说必须氪金才能到25的人未免有点过分了？不氪金刚好25项知道么？再者，游戏的福利本身设置也算合理，氪金点也不多，这方面我个人是零氪党最多月卡党感觉比较满意。3◢关于游戏模式执剑的三消模式我在克鲁赛德战记上第一次接触，但是个人感觉两者各有千秋，风格不同，玩法抄袭也不好界定，这个就不多赘述了。4◢关于客服觉得他们处理问题也比较认真负责了，刚才看公告也知道处理进程，补偿发放也比较及时，毕竟刚开服就遇到这样的问题也很棘手了，有些许地方不周在所难免。5◢其他我没有遇到回档等问题，所以游戏体验还算可以，但是我也能体会到辛辛苦苦走完教程抽完卡突然化为泡影的失落与愤怒，官方在积极处理，各位玩家也要给予理解。我比较喜欢执剑的画风及肝度，还是觉得这个游戏有潜力，希望官方能从这次事故中吸取教训，把游戏做好。------------------------------------------------------------只是些闲谈，各位一看就好
﻿朱塞佩,4E+00,6小时34分钟,今天服务器会修复 我的礼包也被吞了 也等着返还 另外 很多玩家反应bug和部分回档依旧存在...真的希望官方能重视 赶紧处理掉 开服就这么一大波事情 真的挺掉好感度的吧 四星先放着 如果没修复好再扣呗 挺喜欢这个游戏的 画风合我意 感觉也挺精良 不过有点肝再加上个土豆服务器 期待下午的修复
﻿Hogy,5E+00,4小时35分钟,看到游戏的评分从4.8回升到5.1还是很开心的啊哈哈哈哈哈————因为本人没遇到回档问题，并且觉得这是个很好的游戏...————不知道最近出了什么问题，好多游戏测试还好好的，正式服一推出就炸，像隔壁暖暖和纯白，导致低评分都是谈论一个问题的，就是回档啊爆率低啊有bug啊，但是凭借我目前的游戏体验，这的确是一款卖相极佳的好游戏。————1.有丰富的剧情，每一关的开始可以观看剧情的发展，甚至还有选项可以选（那个抓住光国的手emmm）。即使剧情不算出色但这毕竟不是一个看剧情的游戏啊哈哈哈哈哈。2.特色的卡牌系统，很多传统卡牌玩家玩这款游戏时都有疑问...为什么会有两张一样的卡？是出bug了吗？...这种卡牌系统可能不是那么常见，但它的确能够弥补卡牌种类较少的问题。所以还是建议卡要多一点，而且每个稀有度麻烦给一张新立绘，这样才有动力不为了战力去搜集卡牌啊！3.深得我心的战斗模式，跟某某某战记一样，采用消方块的形式进行对决，这种休闲又带着一点小刺激的模式我很喜欢啊哈哈哈哈哈。4.除了爆率极低以外还有一些问题...为什么芭蕉出浴要给他擦头发而萌夏却不用！！！虽然这是款女性向游戏但我还是希望女角色能多一点，而且要做到雨露均沾呐公主！————相信在bug和一些问题修复过来之后评分能回升！
